id,title,game,dateposted
OCR02815,"Quest in Peace","Breath of Death VII: The Beginning",2014-01-09
OCR00678,"Epitaph of Alan and Cerl","Breath of Fire",2002-06-18
OCR01058,"Flames of Valor","Breath of Fire",2003-10-20
OCR01093,"His First Good Deed","Breath of Fire",2003-12-30
OCR00842,"Save Your Game (Club Mix 2002)","Breath of Fire",2002-11-16
OCR00628,"Sad Melody","Breath of Fire",2002-05-16
OCR03332,"Jaded by Death","Breath of Fire II",2016-04-12
OCR00932,"You Must Dance","Breath of Fire II",2003-02-22
OCR01411,"Watermelon Flava","Breath of Fire III",2005-10-02
OCR01691,"Endings, Beginnings and One Hell of a Trip","Breath of Fire IV",2008-03-10
OCR03569,"Angelhenge","Brütal Legend",2017-07-04
OCR02852,"Bubble Dragon","Bubble Bobble",2014-03-18
OCR00015,"Hillbilly Rodeo","Bubble Bobble",2000-02-16
OCR00084,"This Is Not a True Ending","Bubble Bobble",2000-12-10
OCR00198,"This Is Not a True Ending (Asphyxiation)","Bubble Bobble",2000-12-10
OCR00212,"West Side Homies","Bubble Bobble",2000-12-23
OCR01368,"Bust This Groove '81","Bust a Groove",2005-06-23
OCR02565,"The World After Asterion","Cardinal Quest",2012-12-20
OCR01066,"Belmont Lounge","Castlevania",2003-11-04
OCR00633,"Castlemania","Castlevania",2002-05-18
OCR02069,"Castlemania 2010","Castlevania",2010-07-14
OCR02521,"Children of the Wicked","Castlevania",2012-10-31
OCR02437,"Death Tap","Castlevania",2012-05-17
OCR03447,"Dracula's Madness","Castlevania",2016-11-04
OCR02767,"Electro Killer 6000","Castlevania",2013-10-31
OCR02535,"Enough Time to Dance","Castlevania",2012-11-27
OCR03145,"Fleaman's Groove","Castlevania",2015-06-06
OCR01776,"garlic","Castlevania",2008-11-13
OCR00087,"Grim Reaper","Castlevania",2000-07-24
OCR02769,"I Am Dracula (Club Mix)","Castlevania",2013-10-31
OCR02319,"Juese Belmont","Castlevania",2011-10-31
OCR00634,"Midnight Slayer (Solemn Mix)","Castlevania",2001-08-18
OCR02480,"Of Whips and Strings","Castlevania",2012-08-17
OCR00357,"Rigor Dance","Castlevania",2001-06-03
OCR00585,"Simon Belmont's Garage","Castlevania",2002-04-09
OCR03116,"Swing When You're Killing","Castlevania",2015-04-09
OCR01173,"The Raven","Castlevania",2004-05-17
OCR01824,"Transylvanian Temptation","Castlevania",2009-04-03
OCR00120,"Vampire Killer (Deadcorpse)","Castlevania",2000-09-23
OCR01927,"Vampire Snap","Castlevania",2009-10-31
OCR01606,"Vampire Spanker","Castlevania",2007-08-11
OCR02812,"Clockwork Groove","Castlevania",2014-01-01
OCR01810,"Who's That Child?","Castlevania",2009-03-01
OCR00122,"Wicked Orchestra","Castlevania",2000-09-23
OCR01407,"Wicked Six","Castlevania",2005-09-25
OCR00252,"Wickedest Child","Castlevania",2001-01-21
OCR02557,"Wild Night","Castlevania",2012-12-12
OCR02073,"You Gon' Get Whipped","Castlevania",2010-07-26
OCR02172,"A Belmont's Curse","Castlevania II: Simon's Quest",2011-01-31
OCR00355,"Bloody Hell","Castlevania II: Simon's Quest",2001-05-30
OCR00118,"Bloody Tears Inspired","Castlevania II: Simon's Quest",2000-09-16
OCR01754,"Castle of Tears","Castlevania II: Simon's Quest",2008-09-12
OCR01317,"Cursed Bloodline","Castlevania II: Simon's Quest",2005-02-22
OCR00913,"Dark Madness Resurrection","Castlevania II: Simon's Quest",2003-01-30
OCR00680,"DownTown","Castlevania II: Simon's Quest",2002-06-18
OCR00415,"Mini Mayhem","Castlevania II: Simon's Quest",2001-08-27
OCR00849,"No Flesh Allowed","Castlevania II: Simon's Quest",2002-11-21
OCR03096,"Simon Says: Let There Be Jazz","Castlevania II: Simon's Quest",2015-02-27
OCR00940,"Simon's Symphony","Castlevania II: Simon's Quest",2003-03-05
OCR00817,"Simon's Town","Castlevania II: Simon's Quest",2002-10-23
OCR02770,"Tears of Blood","Castlevania II: Simon's Quest",2013-10-31
OCR01904,"The Accursed Seal","Castlevania II: Simon's Quest",2009-09-18
OCR01928,"The Solace of the Daylight","Castlevania II: Simon's Quest",2009-10-31
OCR01401,"A Clockwork Vampire","Castlevania III: Dracula's Curse",2005-09-10
OCR01821,"Demon Seed (Corrupted Infatuation)","Castlevania III: Dracula's Curse",2009-03-27
OCR02119,"Demonic Conception","Castlevania III: Dracula's Curse",2010-10-31
OCR00725,"Ephemeral Evergreen","Castlevania III: Dracula's Curse",2002-07-31
OCR01508,"Froggy Mosh","Castlevania III: Dracula's Curse",2006-09-19
OCR01711,"In the Beginning There Was Jazz","Castlevania III: Dracula's Curse",2008-05-12
OCR01929,"Madd Forest","Castlevania III: Dracula's Curse",2009-10-31
OCR01259,"Pools of Rust","Castlevania III: Dracula's Curse",2004-10-30
OCR01014,"Prelude to Darkness","Castlevania III: Dracula's Curse",2003-07-29
OCR01240,"Stained Glass Filth","Castlevania III: Dracula's Curse",2004-09-05
OCR01707,"In the Darkness of Time","Castlevania: Aria of Sorrow",2008-04-30
OCR02217,"Crimson Twilight","Castlevania: Bloodlines",2011-04-07
OCR02925,"Find Me","Castlevania: Bloodlines",2014-07-03
OCR02768,"Prussian Bones","Castlevania: Bloodlines",2013-10-31
OCR03026,"Red Pearl","Castlevania: Bloodlines",2014-11-20
OCR02987,"Satanic Spire","Castlevania: Bloodlines",2014-09-18
OCR02033,"Unintentional","Castlevania: Bloodlines",2010-05-12
OCR00854,"Rude Awakening","Castlevania: Circle of the Moon",2002-11-25
OCR00770,"Technomancy","Castlevania: Circle of the Moon",2002-09-10
OCR01464,"Time's Anxiety","Castlevania: Circle of the Moon",2006-03-15
OCR03545,"The Bloodline Bounce","Castlevania: Dracula X",2017-05-15
OCR01456,"Behold the Winged Cathedral","Castlevania: Harmony of Dissonance",2006-02-13
OCR01924,"Swingin' with Death","Castlevania: Harmony of Dissonance",2009-10-26
OCR03420,"Somniatis","Castlevania: Order of Ecclesia",2016-09-14
OCR02015,"Sparkle","Castlevania: Order of Ecclesia",2010-04-03
OCR03444,"Dance of Maddness","Castlevania: Portrait of Ruin",2016-10-31
OCR02105,"Fear of Haze","Castlevania: Portrait of Ruin",2010-10-04
OCR03512,"Hail to the Present","Castlevania: Portrait of Ruin",2017-03-13
OCR02336,"The Whip's Memory","Castlevania: Portrait of Ruin",2011-11-29
OCR03446,"I Never Drink... Wine","Castlevania: Symphony of the Night",2016-11-02
OCR03001,"Lost in a Nightmare","Castlevania: Symphony of the Night",2014-10-15
OCR03011,"Marble Bombast","Castlevania: Symphony of the Night",2014-10-31
OCR01576,"Nothing but a Pile of Dance Moves!","Castlevania: Symphony of the Night",2007-05-09
OCR00890,"Scriabin's Long Library","Castlevania: Symphony of the Night",2002-12-29
OCR01334,"The Devil Inside (Italo Disco Mix)","Castlevania: Symphony of the Night",2005-03-27
OCR02045,"Wandering Latinas","Castlevania: Symphony of the Night",2010-06-04
OCR01973,"Wet Dreams","Castlevania: Symphony of the Night",2010-01-14
OCR00134,"Tempest Mix","Castlevania: The Adventure",2000-10-05
OCR01536,"It's Binary, Baby! Album Mix","Cauldron II: The Pumpkin Strikes Back",2006-12-23
OCR01513,"Escape Route","Cave Story",2006-10-04
OCR01703,"H2O","Cave Story",2008-04-19
OCR01524,"Moon Rhapsody","Cave Story",2006-11-12
OCR01825,"Polar Star Overdrive","Cave Story",2009-04-05
OCR02154,"The Angels of Hell","Cave Story",2010-12-30
OCR02363,"The Unbroken","Cave Story",2012-01-01
OCR02218,"Knowing Heart, Distant Noise","Chaos Field",2011-04-10
OCR01562,"The Souls of Chaos","Chaos Legion",2007-03-15
OCR01954,"C.H.E.E.T.A.H.","Cheetahmen II",2009-12-11
OCR01698,"Livin' Large!","Cheetahmen II",2008-04-01
OCR02814,"Itsutsu no Chikara","Choujin Sentai Jetman",2014-01-07
OCR02152,"Winter NiGHTS (Hey, Dreamer)","Christmas NiGHTS into dreams...",2010-12-25
OCR02572,"A Dream Between Worlds","Chrono Cross",2012-12-27
OCR00171,"Another Inspiration","Chrono Cross",2000-11-14
OCR03571,"Another Marbule Homestead","Chrono Cross",2017-07-06
OCR00917,"Cross Fire","Chrono Cross",2003-02-02
OCR02975,"Cruisin' (Live Edit)","Chrono Cross",2014-09-08
OCR01145,"Dragon's Prayer: The Blackened Desire","Chrono Cross",2004-03-22
OCR01055,"Dream-Shore Sonata-Fantaisie","Chrono Cross",2003-10-17
OCR00965,"Dreamer","Chrono Cross",2003-04-07
OCR01552,"Dreaming Still","Chrono Cross",2007-02-14
OCR00623,"Dubbing the Body","Chrono Cross",2002-05-09
OCR02311,"Improvisation on a Moment Seized by Time","Chrono Cross",2011-10-17
OCR00676,"Just Chill","Chrono Cross",2002-06-16
OCR00282,"Nikki Learns a Song","Chrono Cross",2001-02-21
OCR03254,"Passing Through History","Chrono Cross",2015-11-09
OCR01520,"People Seized with Trance","Chrono Cross",2006-10-29
OCR00241,"Radical Dreamers (Angelic Mix)","Chrono Cross",2001-01-07
OCR00296,"Radical Punks","Chrono Cross",2001-03-13
OCR01501,"Reminiscence of Feelings","Chrono Cross",2006-08-31
OCR01574,"Song of Ruin","Chrono Cross",2007-04-29
OCR02682,"Song of Ruin 2","Chrono Cross",2013-06-20
OCR01910,"Through Time and Space","Chrono Cross",2009-09-30
OCR00393,"Time Scars","Chrono Cross",2001-07-29
OCR00992,"Time Voyager","Chrono Cross",2003-05-30
OCR00864,"Time's New Scar","Chrono Cross",2002-12-03
OCR03185,"Timewarp","Chrono Cross",2015-07-30
OCR01386,"To Times Once Forgotten","Chrono Cross",2005-08-07
OCR03518,"Traversing the Aether","Chrono Cross",2017-03-22
OCR01641,"Who Stole My Stars","Chrono Cross",2007-11-03
OCR01989,"...And in Her Self-Loathing and Despair, She Found Wrath","Chrono Trigger",2010-02-12
OCR01040,"600 A.D. in Piano","Chrono Trigger",2003-09-17
OCR00922,"A World Awaits Chrono","Chrono Trigger",2003-02-08
OCR01115,"Another Fair","Chrono Trigger",2004-02-01
OCR01510,"Antimatter","Chrono Trigger",2006-09-28
OCR01726,"Aqueous Transgression","Chrono Trigger",2008-06-20
OCR01452,"At the End of All Things","Chrono Trigger",2006-02-06
OCR01377,"Atonement","Chrono Trigger",2005-07-16
OCR01896,"B.A.M.F. (Radio Edit)","Chrono Trigger",2009-08-25
OCR01602,"Back 2 Skala","Chrono Trigger",2007-07-30
OCR01742,"Behind the Sealed Door","Chrono Trigger",2008-08-14
OCR00072,"Belthasar","Chrono Trigger",2000-06-25
OCR01453,"Black Wind Rising","Chrono Trigger",2006-02-11
OCR01095,"Blue Skies over Guardia","Chrono Trigger",2003-12-31
OCR00228,"Blue-Minded God","Chrono Trigger",2000-12-31
OCR01805,"But the Future Refused to Change","Chrono Trigger",2009-02-05
OCR03408,"But You're Still Hungry","Chrono Trigger",2016-08-16
OCR02365,"By the Old Mill","Chrono Trigger",2012-01-03
OCR01219,"Calamitous Judgment","Chrono Trigger",2004-07-21
OCR03448,"Cataclysm","Chrono Trigger",2016-11-08
OCR01797,"Chrono Moonstone","Chrono Trigger",2009-01-09
OCR01471,"Chronodyne Marine","Chrono Trigger",2006-04-23
OCR01807,"Close Door All Way","Chrono Trigger",2009-02-17
OCR03255,"Coming Darkness","Chrono Trigger",2015-11-09
OCR01862,"Corridor of Time (Time Warp Mix)","Chrono Trigger",2009-06-26
OCR01836,"Corrupter of Time","Chrono Trigger",2009-04-30
OCR03050,"Cosmic Whispers","Chrono Trigger",2014-12-11
OCR02860,"Crow Note Rigger","Chrono Trigger",2014-03-31
OCR00877,"Crying Mountain","Chrono Trigger",2002-12-15
OCR00794,"Daughter of Evil","Chrono Trigger",2002-09-30
OCR02726,"Devotio Aeternus","Chrono Trigger",2013-08-16
OCR01587,"Dignity Ark","Chrono Trigger",2007-06-11
OCR01442,"Door to the End of Time","Chrono Trigger",2006-01-03
OCR00805,"Downwind","Chrono Trigger",2002-10-11
OCR03483,"Dream of Green","Chrono Trigger",2017-01-17
OCR00609,"Dream of Zeal","Chrono Trigger",2002-04-27
OCR03412,"Driftwood","Chrono Trigger",2016-08-22
OCR02835,"Echoes of the Forest","Chrono Trigger",2014-02-18
OCR01092,"Electric Clouds","Chrono Trigger",2003-12-24
OCR00948,"Enter the Frog","Chrono Trigger",2003-03-13
OCR01826,"Fight for Our Future!","Chrono Trigger",2009-04-06
OCR03187,"Flow of Time","Chrono Trigger",2015-08-04
OCR00973,"Forever","Chrono Trigger",2003-04-21
OCR01573,"Forever Until Tomorrow","Chrono Trigger",2007-04-25
OCR03445,"Fritz Was Here","Chrono Trigger",2016-10-31
OCR01635,"Gale of Ages","Chrono Trigger",2007-10-25
OCR02338,"Glenn","Chrono Trigger",2011-12-03
OCR00883,"Green Amnesia","Chrono Trigger",2002-12-21
OCR02976,"In the Green Gloom","Chrono Trigger",2014-09-08
OCR02602,"Incorrigible","Chrono Trigger",2013-02-06
OCR00275,"Island of Zeal","Chrono Trigger",2001-02-11
OCR02517,"Islands in the Sky","Chrono Trigger",2012-10-25
OCR01844,"JESUS CHRIST IT'S A DINOSAUR GET IN THE EPOCH","Chrono Trigger",2009-05-16
OCR01029,"Jethro and Vash at the Fair","Chrono Trigger",2003-08-23
OCR02979,"Jewel of Enhasa","Chrono Trigger",2014-09-08
OCR02963,"Kingdom of Magic","Chrono Trigger",2014-08-25
OCR00834,"Lavos Battle dnBoss","Chrono Trigger",2002-11-08
OCR00871,"Lesser Kerubic Patchwork","Chrono Trigger",2002-12-10
OCR00831,"Lost Fragments of the Past","Chrono Trigger",2002-11-05
OCR02898,"Lost in Time","Chrono Trigger",2014-05-30
OCR02389,"Lucid States","Chrono Trigger",2012-02-22
OCR00376,"Magus (Decay of Hope)","Chrono Trigger",2001-07-04
OCR00261,"Magus (Temporal Rehab)","Chrono Trigger",2001-01-30
OCR01414,"Memories from the Wind Scene","Chrono Trigger",2005-10-11
OCR00863,"Memories Lost in Time","Chrono Trigger",2002-12-03
OCR00172,"Millennial Fair 2001","Chrono Trigger",2000-11-14
OCR00652,"Millennial Mountain (Delightful Disco Mix)","Chrono Trigger",2002-05-23
OCR00673,"Molding of Destinies","Chrono Trigger",2002-06-11
OCR03411,"Neuga, Ziena, Zieber, Zom...","Chrono Trigger",2016-08-22
OCR00386,"No Time","Chrono Trigger",2001-07-19
OCR02920,"Notes from a Small Island","Chrono Trigger",2014-06-27
OCR00410,"Ocean Palace (Wave Breaker)","Chrono Trigger",2001-08-24
OCR02803,"Oh, Traveller from an Arcane Land","Chrono Trigger",2013-12-30
OCR02067,"Pipe Dream Mystics","Chrono Trigger",2010-07-09
OCR01298,"Predetermination","Chrono Trigger",2005-01-09
OCR03338,"Punk Hairdo Kid","Chrono Trigger",2016-04-21
OCR00708,"Requiem for a Green Revolution","Chrono Trigger",2002-07-14
OCR00077,"Revival Day Impoetus","Chrono Trigger",2000-07-10
OCR01226,"Rhodes to the Past","Chrono Trigger",2004-08-04
OCR00916,"Ruined Landscape","Chrono Trigger",2003-02-02
OCR00601,"Ruined World (Eternal Derelict)","Chrono Trigger",2002-04-23
OCR01288,"Sacratus Bellator","Chrono Trigger",2004-12-19
OCR00312,"Schala Ancients","Chrono Trigger",2001-03-31
OCR00273,"Schala's Paradise","Chrono Trigger",2001-02-11
OCR01049,"Song of the Mountain","Chrono Trigger",2003-10-02
OCR00408,"Spekkio Beach Party","Chrono Trigger",2001-08-22
OCR00889,"Spekkio the Brave","Chrono Trigger",2002-12-24
OCR03277,"stratification","Chrono Trigger",2015-12-17
OCR01450,"Subterranean Opus","Chrono Trigger",2006-01-29
OCR02777,"Sunrise","Chrono Trigger",2013-11-14
OCR00313,"Team Gato","Chrono Trigger",2001-04-04
OCR01099,"Tears for a Girl","Chrono Trigger",2004-01-11
OCR01446,"Tears of Contention","Chrono Trigger",2006-01-12
OCR00789,"Temporal Distortion","Chrono Trigger",2002-09-24
OCR01314,"The Dark Before the Dawn","Chrono Trigger",2005-02-17
OCR03351,"The Dark Defender","Chrono Trigger",2016-05-11
OCR03224,"The Depetrification of the Submerged Forest","Chrono Trigger",2015-09-22
OCR01525,"The Final Battle","Chrono Trigger",2006-11-16
OCR02189,"The Frog Dance","Chrono Trigger",2011-02-25
OCR01274,"The Frontier","Chrono Trigger",2004-11-23
OCR00988,"The Incredible Singing Robot","Chrono Trigger",2003-05-21
OCR00317,"The Knights Come Marching Home","Chrono Trigger",2001-04-09
OCR02253,"The Last Schala Mix Ever","Chrono Trigger",2011-06-15
OCR00804,"The Mellow Corridor","Chrono Trigger",2002-10-10
OCR00088,"The New Zeal","Chrono Trigger",2000-07-24
OCR01458,"The Place We Knew","Chrono Trigger",2006-02-25
OCR00800,"The Trial in Concert","Chrono Trigger",2002-10-05
OCR01549,"Theme of Frog's","Chrono Trigger",2007-02-01
OCR02098,"Third Eye","Chrono Trigger",2010-09-17
OCR01178,"Through the Dark","Chrono Trigger",2004-05-23
OCR01132,"Time Chill","Chrono Trigger",2004-03-03
OCR00388,"Time Circuits High Voltage","Chrono Trigger",2001-07-22
OCR00998,"Time Management","Chrono Trigger",2003-06-25
OCR00506,"Time Punk","Chrono Trigger",2002-01-20
OCR03520,"Time's Seal","Chrono Trigger",2017-03-27
OCR00621,"Times of Distortion","Chrono Trigger",2002-05-07
OCR02225,"To Far Away Inspirations","Chrono Trigger",2011-04-19
OCR01247,"To Far Away Memories","Chrono Trigger",2004-09-26
OCR00603,"To Far Away Timescapes","Chrono Trigger",2002-04-24
OCR01781,"To Lost Epochs","Chrono Trigger",2008-11-24
OCR01495,"Town Life","Chrono Trigger",2006-07-09
OCR00873,"Town Life in Piano","Chrono Trigger",2002-12-12
OCR01908,"Tree Hopper","Chrono Trigger",2009-09-27
OCR02575,"Trigger, Please","Chrono Trigger",2013-01-07
OCR03410,"Way Before the Day Before Yesterday","Chrono Trigger",2016-08-22
OCR02684,"Weaving the Threads of Time","Chrono Trigger",2013-06-25
OCR00733,"What Hath Thou Done with This","Chrono Trigger",2002-08-10
OCR01258,"When All Hope Has Faded","Chrono Trigger",2004-10-22
OCR03538,"When Hell Freezes Over","Chrono Trigger",2017-05-03
OCR02298,"where threads connect","Chrono Trigger",2011-09-23
OCR01610,"Wind Scene Concert Paraphrase","Chrono Trigger",2007-08-28
OCR00269,"Winds of Time","Chrono Trigger",2001-02-06
OCR03402,"Yearnings na Gaoithe","Chrono Trigger",2016-08-04
OCR02372,"Zeal Feels Good","Chrono Trigger",2012-01-17
OCR01053,"Zeal Love","Chrono Trigger",2003-10-12
OCR03274,"Orbital Space Junk","Clystron",2015-12-11
OCR02442,"bra reloCaTing","Cobra Triangle",2012-05-31
OCR00845,"Main Theme (Blue Square Mix)","Columns",2002-11-17
OCR00417,"On the Prowl Redux","Command & Conquer",2001-08-31
OCR03514,"Re-act","Command & Conquer",2017-03-16
OCR00492,"Hell March (Red Scare)","Command & Conquer: Red Alert",2002-01-04
OCR01884,"Hell March to the Apocalypse","Command & Conquer: Red Alert",2009-07-29
OCR00511,"Mud Mix","Command & Conquer: Red Alert",2002-01-22
OCR02875,"Transistor","Command & Conquer: Red Alert",2014-04-18
OCR01180,"man sieht sich galaxie","Commander Keen IV: Secret of the Oracle",2004-05-23
OCR01299,"Tuatara Swamp Jam","Commander Keen IV: Secret of the Oracle",2005-01-12
OCR01432,"Slick Rippin' Keen","Commander Keen V: The Armageddon Machine",2005-11-27
OCR02844,"Bulls 'N Beers","Conker's Bad Fur Day",2014-03-04
OCR01678,"Rhapsody in Poo","Conker's Bad Fur Day",2008-02-03
OCR03275,"Aliens in My Waterfall!","Contra",2015-12-14
OCR00030,"AMEN Reflux","Contra",2000-03-10
OCR00841,"Bases Loaded","Contra",2002-11-14
OCR00069,"Contravirt","Contra",2000-06-05
OCR01595,"Feeding Frenzy","Contra",2007-07-01
OCR01355,"Snow Field","Contra",2005-05-22
OCR02136,"Power Trip","Contra Force",2010-11-30
OCR02132,"Dystopian Future","Contra III: The Alien Wars",2010-11-23
OCR01648,"OverClocked Spot","Cool Spot",2007-11-20
OCR01015,"Smileyspot","Cool Spot",2003-07-29
OCR02809,"Heavenly Horrors","Corpse Party",2014-01-01
OCR01294,"4:20 AM","Crack Down",2004-12-30
OCR02414,"All for Wumpa","Crash Bandicoot",2012-04-05
OCR02413,"Hogging Molly","Crash Bandicoot",2012-04-05
OCR03568,"Sub-Dimensions","Crash Bandicoot 2: Cortex Strikes Back",2017-06-30
OCR03345,"The Wrath of Tiny","Crash Bandicoot 2: Cortex Strikes Back",2016-05-02
OCR00936,"Komet Non-Stop","Crazy Comets",2003-03-01
OCR01765,"Daily Training","Crusader of Centy",2008-10-16
